企业名称,组织机构代码,资质证书,发证单位
深圳市鹏达房地产开发有限公司,279413629,深房开字(2014)129号,深圳市规划和国土资源委员会
深圳市东方置地集团有限公司,27952565-5,深房开字(2014)130号,深圳市规划和国土资源委员会
深圳市中银信置业有限公司,66709814-9,深房开字(2014)131号,深圳市规划和国土资源委员会
深圳市城市建设投资发展有限公司,45576897-2,深房开字(2014)132号,深圳市规划和国土资源委员会
深圳市新豪方房地产有限公司,71522928X,深房开字(2014)133号,深圳市规划和国土资源委员会
深圳市福东龙投资有限公司,68204151-1,深房开字(2014)134号,深圳市规划和国土资源委员会
深圳市心海投资发展有限公司,728572167,深房开字(2014)135号,深圳市规划和国土资源委员会
深圳市登程投资开发有限公司,19043984-9,深房开字(2014)136号,深圳市规划和国土资源委员会
深圳市龙富房地产开发有限公司,66854963-4,深房开字(2014)137号,深圳市规划和国土资源委员会
深圳市新生辉投资有限公司,74122388-5,深房开字(2014)138号,深圳市规划和国土资源委员会
深圳市山居假日房地产有限公司,797993723,深房开字(2014)139号,深圳市规划和国土资源委员会
深圳市佳华房地产开发有限公司,19248626X,深房开字(2014)140号,深圳市规划和国土资源委员会
深圳市海怡湾畔房地产开发有限公司,78392365-2,深房开字(2014)141号,深圳市规划和国土资源委员会
深圳天利地产集团有限公司,75425284-5,深房开字(2014)142号,深圳市规划和国土资源委员会
君豪实业发展（深圳）有限公司,61890846-7,深房开字(2014)143号,深圳市规划和国土资源委员会
深圳市东埔实业集团有限公司,19228027X,深房开字(2014)144号,深圳市规划和国土资源委员会
深圳市银海实业有限公司,192215128,深房开字(2014)145号,深圳市规划和国土资源委员会
新锦安实业发展（深圳）有限公司,618903332,深房开字(2014)146号,深圳市规划和国土资源委员会
深圳市嘉旺城投资有限公司,77557712-0,深房开字(2014)147号,深圳市规划和国土资源委员会
深圳市金地利投资有限公司,738848040,深房开字(2014)148号,深圳市规划和国土资源委员会
俊荣发展（深圳）有限公司,726161823,深房开字(2014)149号,深圳市规划和国土资源委员会
深圳市绿洲丰和投资发展有限公司,77164433-0,深房开字(2014)150号,深圳市规划和国土资源委员会
深圳南油房地产有限公司,618841098,深房开字(2014)151号,深圳市规划和国土资源委员会
深圳市盛善投资有限公司,56851223-6,深房开字(2014)152号,深圳市规划和国土资源委员会
港丰房地产开发（深圳）有限公司,70844110-0,深房开字(2014)153号,深圳市规划和国土资源委员会
深圳市深润川实业有限公司,75567443-3,深房开字(2014)154号,深圳市规划和国土资源委员会
深圳市地铁集团有限公司,70843787-3,深房开字(2014)155号,深圳市规划和国土资源委员会
深圳市同和工贸有限公司,61929281X,深房开字(2014)156号,深圳市规划和国土资源委员会
深圳市华嵘投资集团有限公司,27931301-1,深房开字(2014)157号,深圳市规划和国土资源委员会
深圳市铭兴实业集团有限公司,71524453-5,深房开字(2014)158号,深圳市规划和国土资源委员会
深圳市锦成龙实业有限公司,76498046-7,深房开字(2014)159号,深圳市规划和国土资源委员会
深圳市嘉盛城投资有限公司,19247303-9,深房开字(2014)160号,深圳市规划和国土资源委员会
深圳市城市假日房地产开发有限公司,766354646,深房开字(2014)161号,深圳市规划和国土资源委员会
深圳市花样年房地产开发有限公司,78831288-5,深房开字(2014)162号,深圳市规划和国土资源委员会
深圳西帝房地产开发有限公司,745155541,深房开字(2014)163号,深圳市规划和国土资源委员会
深圳宝源创建有限公司,79174985-0,深房开字(2014)164号,深圳市规划和国土资源委员会
深圳市城龙房地产开发有限公司,979650836,深房开字(2014)165号,深圳市规划和国土资源委员会
深圳市鹏宝东物业发展有限公司,192478948,深房开字(2014)166号,深圳市规划和国土资源委员会
深圳市泰业投资有限公司,79921089-7,深房开字(2014)167号,深圳市规划和国土资源委员会
深圳市友盛置业有限公司,734171052,深房开字(2014)168号,深圳市规划和国土资源委员会
深圳市金城光明房地产有限公司,66265351-0,深房开字(2014)169号,深圳市规划和国土资源委员会
宝能地产股份有限公司,73883331-6,深房开字(2014)170号,深圳市规划和国土资源委员会
深圳市田厦实业股份有限公司,192410484,深房开字(2014)171号,深圳市规划和国土资源委员会
招商局蛇口工业区有限公司,10001146-0,深房开字(2014)172号,深圳市规划和国土资源委员会
深圳市世纪旭源投资发展有限公司,57313048-6,深房开字(2014)173号,深圳市规划和国土资源委员会
深圳广容丰投资发展有限公司,79173951-3,深房开字(2014)174号,深圳市规划和国土资源委员会
深圳市华盛置业有限公司,69119952-1,深房开字(2014)175号,深圳市规划和国土资源委员会
深圳市桐林房地产开发有限公司,69906032-1,深房开字(2014)176号,深圳市规划和国土资源委员会
宝安鸿基地产集团股份有限公司,19217441-X,深房开字(2014)177号,深圳市规划和国土资源委员会
深业鹏基（集团）有限公司,190338159,深房开字(2014)178号,深圳市规划和国土资源委员会
深圳市优地房地产开发有限公司,77879427-8,深房开字(2014)179号,深圳市规划和国土资源委员会
鼎太房地产开发（深圳）有限公司,618929938,深房开字(2014)180号,深圳市规划和国土资源委员会
深圳市力基房地产有限公司,66265389-5,深房开字(2014)181号,深圳市规划和国土资源委员会
深圳市博众投资有限公司,56277670-8,深房开字(2014)182号,深圳市规划和国土资源委员会
深圳市龙光房地产有限公司,750466854,深房开字(2014)183号,深圳市规划和国土资源委员会
华润（深圳）有限公司,10001857-4,深房开字(2014)184号,深圳市规划和国土资源委员会
东港实业发展（深圳）有限公司,61892474-X,深房开字(2014)185号,深圳市规划和国土资源委员会
深圳市中航城置业发展有限公司,67666793-3,深房开字(2014)186号,深圳市规划和国土资源委员会
深圳市耀都房地产开发有限公司,77163394-4,深房开字(2014)187号,深圳市规划和国土资源委员会
深圳南海益田置业有限公司,708478085,深房开字(2014)188号,深圳市规划和国土资源委员会
振昌实业（深圳）有限公司,618862411,深房开字(2014)189号,深圳市规划和国土资源委员会
深圳西丽高尔夫球俱乐部有限公司,618856011,深房开字(2014)190号,深圳市规划和国土资源委员会
深圳市金海港实业有限公司,73415875-5,深房开字(2014)191号,深圳市规划和国土资源委员会
深圳市港信达投资发展有限公司,75252933-7,深房开字(2014)192号,深圳市规划和国土资源委员会
宝城物业管理（深圳）有限公司,76048128-1,深房开字(2014)193号,深圳市规划和国土资源委员会
深圳市龙园山庄实业发展有限公司,279259529,深房开字(2014)194号,深圳市规划和国土资源委员会
深圳深业物流集团股份有限公司,618800931,深房开字(2014)195号,深圳市规划和国土资源委员会
深圳华讯伟鸿房地产开发有限公司,77033816-3,深房开字(2014)196号,深圳市规划和国土资源委员会
深圳市红荷房地产开发有限公司,56852016-4,深房开字(2014)197号,深圳市规划和国土资源委员会
深圳市赐福贸易有限公司,66269714-2,深房开字(2014)198号,深圳市规划和国土资源委员会
深圳市花样年地产集团有限公司,27927632-9,深房开字(2014)199号,深圳市规划和国土资源委员会
深圳新安湖实业有限公司,61882288-2,深房开字(2014)200号,深圳市规划和国土资源委员会
深圳市宝安宝利来实业有限公司,192503306,深房开字(2014)201号,深圳市规划和国土资源委员会
深圳市深房集团龙岗开发有限公司,279522091,深房开字(2014)202号,深圳市规划和国土资源委员会
深圳市俊城房地产开发有限公司,76636249-4,深房开字(2014)203号,深圳市规划和国土资源委员会
深圳茂业（集团）股份有限公司,618890922,深房开字(2014)204号,深圳市规划和国土资源委员会
深圳市教新实业有限公司,72473490-7,深房开字(2014)205号,深圳市规划和国土资源委员会
深圳市和正泰投资发展有限公司,67665160-4,深房开字(2014)206号,深圳市规划和国土资源委员会
深圳市华明辉置业有限公司,192274902,深房开字(2014)207号,深圳市规划和国土资源委员会
深圳市创建业房地产开发有限公司,71525704-5,深房开字(2014)208号,深圳市规划和国土资源委员会
深圳市润创兴投资有限公司,68534961-x,深房开字(2014)209号,深圳市规划和国土资源委员会
深圳市华来利投资控股（集团）有限公司,279396718,深房开字(2014)210号,深圳市规划和国土资源委员会
深圳市东浩荣房地产开发有限公司,7917099-3,深房开字(2014)211号,深圳市规划和国土资源委员会
深圳市众联业贸易有限公司,70849373-6,深房开字(2014)212号,深圳市规划和国土资源委员会
深圳天俊实业股份有限公司,617404195,深房开字(2014)213号,深圳市规划和国土资源委员会
沙河实业股份有限公司,61880167-8,深房开字(2014)214号,深圳市规划和国土资源委员会
深圳市玉湖房地产开发有限公司,79258716-0,深房开字(2014)215号,深圳市规划和国土资源委员会
深圳市世博海滨实业发展有限公司,743230288,深房开字(2014)216号,深圳市规划和国土资源委员会
深圳市致远房地产开发有限公司,74664550-X,深房开字(2014)217号,深圳市规划和国土资源委员会
深圳市东海成投资有限公司,75047264-8,深房开字(2014)218号,深圳市规划和国土资源委员会
深圳市尚模发展有限公司,27929595X,深房开字(2014)219号,深圳市规划和国土资源委员会
深圳市地健工程有限公司,-4403010000000,深房开字(2014)220号,深圳市规划和国土资源委员会
深圳市新南宝恒投资发展有限公司,59776187-2,深房开字(2014)221号,深圳市规划和国土资源委员会
深圳恒丰房地产有限公司,618821812,深房开字(2014)222号,深圳市规划和国土资源委员会
深圳卓越世纪城房地产开发有限公司,61887977-4,深房开字(2014)223号,深圳市规划和国土资源委员会
深圳市深冠华投资发展有限公司,708422559,深房开字(2014)224号,深圳市规划和国土资源委员会
深圳东海集团有限公司,618828838,深房开字(2014)225号,深圳市规划和国土资源委员会
深圳市银星房地产开发有限公司,82901950,深房开字(2014)226号,深圳市规划和国土资源委员会
永泰辉印刷（深圳）有限公司,618853275,深房开字(2014)227号,深圳市规划和国土资源委员会
深圳市屹海达实业有限公司,19220754X,深房开字(2014)228号,深圳市规划和国土资源委员会
深业泰富物流集团股份有限公司,79923797-2,深房开字(2014)229号,深圳市规划和国土资源委员会
深圳市深福保（集团）有限公司,27938458-1,深房开字(2014)230号,深圳市规划和国土资源委员会
深圳市富腾投资发展有限公司,56706933-2,深房开字(2014)231号,深圳市规划和国土资源委员会
深圳市招商创业有限公司,70844202-3,深房开字(2014)232号,深圳市规划和国土资源委员会
深圳市鼎胜投资有限公司,77273675-5,深房开字(2014)233号,深圳市规划和国土资源委员会
深圳市海源实业股份有限公司,19231150-7,深房开字(2014)234号,深圳市规划和国土资源委员会
深圳市金盛丰贸易有限公司,71521434-4,深房开字(2014)235号,深圳市规划和国土资源委员会
中国宝安集团股份有限公司,19219665X,深房开字(2014)236号,深圳市规划和国土资源委员会
深圳市金众地产集团有限公司,19218925-7,深房开字(2014)237号,深圳市规划和国土资源委员会
嘉里置业（深圳）有限公司,741236504,深房开字(2014)238号,深圳市规划和国土资源委员会
深圳市建设（集团）有限公司,757627403,深房开字(2014)239号,深圳市规划和国土资源委员会
世纪海景集团（深圳）有限公司,27952112-8,深房开字(2014)240号,深圳市规划和国土资源委员会
深圳市中林实业发展有限公司,73625952-5,深房开字(2014)241号,深圳市规划和国土资源委员会
深圳市皇城地产有限公司,192184835,深房开字(2014)242号,深圳市规划和国土资源委员会
深圳市东部开发（集团）有限公司,192189740,深房开字(2014)243号,深圳市规划和国土资源委员会
深圳市山海园林有限公司,192183066,深房开字(2014)244号,深圳市规划和国土资源委员会
深圳市金阳成置业发展有限公司,78391567-9,深房开字(2014)245号,深圳市规划和国土资源委员会
深圳市建安（集团）股份有限公司,19219737-X,深房开字(2014)246号,深圳市规划和国土资源委员会
正兴隆房地产（深圳）有限公司,61893441-1,深房开字(2014)247号,深圳市规划和国土资源委员会
深圳市百纳投资有限公司,70843537-6,深房开字(2014)248号,深圳市规划和国土资源委员会
华业发展（深圳）有限公司,61885741-X,深房开字(2014)249号,深圳市规划和国土资源委员会
深圳市皇庭房地产开发有限公司,76498972-8,深房开字(2014)250号,深圳市规划和国土资源委员会
深圳市福田房地产有限公司,192181554,深房开字(2014)251号,深圳市规划和国土资源委员会
深圳市大综艺房地产开发有限公司,192316455,深房开字(2014)252号,深圳市规划和国土资源委员会
深圳市天居置业有限公司,78923368-7,深房开字(2014)253号,深圳市规划和国土资源委员会
深圳市中洲投资控股股份有限公司,19219076-8,深房开字(2014)254号,深圳市规划和国土资源委员会
百仕达地产有限公司,61883516-5,深房开字(2014)255号,深圳市规划和国土资源委员会
深圳坪山招商房地产有限公司,06497743-5,深房开字(2014)256号,深圳市规划和国土资源委员会
深圳市华联置业集团有限公司,19219910-5,深房开字(2014)257号,深圳市规划和国土资源委员会
深圳市美地佳置业有限公司,79046418-3,深房开字(2014)258号,深圳市规划和国土资源委员会
深圳市恒隆泰房地产开发有限公司,71521252-7,深房开字(2014)259号,深圳市规划和国土资源委员会
深圳市合能房地产开发有限公司,192486067,深房开字(2014)260号,深圳市规划和国土资源委员会
民生东都深圳房地产开发有限公司,279522016,深房开字(2014)261号,深圳市规划和国土资源委员会
深圳市鼎昌实业有限公司,279459803,深房开字(2014)262号,深圳市规划和国土资源委员会
深圳市龙康弘投资发展有限公司,27930762-3,深房开字(2014)263号,深圳市规划和国土资源委员会
深圳市万年青投资发展有限公司,72470164-6,深房开字(2014)264号,深圳市规划和国土资源委员会
深圳市南山罐头厂有限公司,89217224-5,深房开字(2014)265号,深圳市规划和国土资源委员会
深圳拓劲房地产开发有限公司,708436969,深房开字(2014)266号,深圳市规划和国土资源委员会
深圳市光大房地产开发有限公司,78656646-X,深房开字(2014)267号,深圳市规划和国土资源委员会
深圳市方华房地产开发有限公司,192486075,深房开字(2014)268号,深圳市规划和国土资源委员会
深圳市岗宏集团有限公司,279266163,深房开字(2014)269号,深圳市规划和国土资源委员会
深圳市宇宏投资集团有限公司,27924476-5,深房开字(2014)270号,深圳市规划和国土资源委员会
深圳新浩房地产有限公司,618877162,深房开字(2014)271号,深圳市规划和国土资源委员会
深圳市金地宝城房地产开发有限公司,56706530-7,深房开字(2014)272号,深圳市规划和国土资源委员会
深圳市闽泰房地产开发有限公司,715224702,深房开字(2014)273号,深圳市规划和国土资源委员会
深圳妈湾电力有限公司,61881670-6,深房开字(2014)274号,深圳市规划和国土资源委员会
深圳市裕德丰投资发展有限公司,79387417-X,深房开字(2014)275号,深圳市规划和国土资源委员会
深圳市宝安区福永物业发展总公司,192479780,深房开字(2014)276号,深圳市规划和国土资源委员会
深圳市阳光华艺房地产有限公司,736292536,深房开字(2014)277号,深圳市规划和国土资源委员会
